citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
87 FR 13625, 2022-05232,13626,https://www.federalregister.gov/documents/2022/03/10/2022-05232/prohibiting-certain-imports-and-new-investments-with-respect-to-continued-russian-federation-efforts,https://www.govinfo.gov/content/pkg/FR-2022-03-10/pdf/2022-05232.pdf,Presidential Document,Executive Order,03/10/2022,2022-03-08,13625,Prohibiting Certain Imports and New Investments With Respect to Continued Russian Federation Efforts To Undermine the Sovereignty and Territorial Integrity of Ukraine,"See: EO 14024, April 15, 2021; EO 14039, August 20, 2021; EO 14114, December 12, 2023; EO 14329, August 6, 2025
",14066
82 FR 34383, 2017-15680,34385,https://www.federalregister.gov/documents/2017/07/25/2017-15680/establishing-a-presidential-advisory-council-on-infrastructure,https://www.govinfo.gov/content/pkg/FR-2017-07-25/pdf/2017-15680.pdf,Presidential Document,Executive Order,07/25/2017,2017-07-19,34383,Establishing a Presidential Advisory Council on Infrastructure,"Revoked by: EO 13811, September 29, 2017",13805
87 FR 14143, 2022-05471,14152,https://www.federalregister.gov/documents/2022/03/14/2022-05471/ensuring-responsible-development-of-digital-assets,https://www.govinfo.gov/content/pkg/FR-2022-03-14/pdf/2022-05471.pdf,Presidential Document,Executive Order,03/14/2022,2022-03-09,14143,Ensuring Responsible Development of Digital Assets,"Revoked by: EO 14178, January 23, 2025",14067
82 FR 28747, 2017-13458,28748,https://www.federalregister.gov/documents/2017/06/26/2017-13458/amending-executive-order-13597,https://www.govinfo.gov/content/pkg/FR-2017-06-26/pdf/2017-13458.pdf,Presidential Document,Executive Order,06/26/2017,2017-06-21,28747,Amending Executive Order 13597,"Amends:  EO 13597, January 19, 2012",13802
82 FR 28229, 2017-13012,28232,https://www.federalregister.gov/documents/2017/06/20/2017-13012/expanding-apprenticeships-in-america,https://www.govinfo.gov/content/pkg/FR-2017-06-20/pdf/2017-13012.pdf,Presidential Document,Executive Order,06/20/2017,2017-06-15,28229,Expanding Apprenticeships in America,"Revoked by: EO 14016, February 17, 2021",13801
82 FR 22391, 2017-10004,22397,https://www.federalregister.gov/documents/2017/05/16/2017-10004/strengthening-the-cybersecurity-of-federal-networks-and-critical-infrastructure,https://www.govinfo.gov/content/pkg/FR-2017-05-16/pdf/2017-10004.pdf,Presidential Document,Executive Order,05/16/2017,2017-05-11,22391,Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure,"See: EO 13636, February 12, 2013",13800
82 FR 9965, 2017-02762,9966,https://www.federalregister.gov/documents/2017/02/08/2017-02762/core-principles-for-regulating-the-united-states-financial-system,https://www.govinfo.gov/content/pkg/FR-2017-02-08/pdf/2017-02762.pdf,Presidential Document,Executive Order,02/08/2017,2017-02-03,9965,Core Principles for Regulating the United States Financial System,"Revoked by: EO 14018, February 24, 2021",13772
82 FR 34597, 2017-15860,34599,https://www.federalregister.gov/documents/2017/07/26/2017-15860/assessing-and-strengthening-the-manufacturing-and-defense-industrial-base-and-supply-chain,https://www.govinfo.gov/content/pkg/FR-2017-07-26/pdf/2017-15860.pdf,Presidential Document,Executive Order,07/26/2017,2017-07-21,34597,Assessing and Strengthening the Manufacturing and Defense Industrial Base and Supply Chain Resiliency of the United States,"",13806
81 FR 90667, 2016-30272,90668,https://www.federalregister.gov/documents/2016/12/14/2016-30272/amending-the-order-of-succession-in-the-department-of-homeland-security,https://www.govinfo.gov/content/pkg/FR-2016-12-14/pdf/2016-30272.pdf,Presidential Document,Executive Order,12/14/2016,2016-12-09,90667,Amending the Order of Succession in the Department of Homeland Security,"Amends: EO 13286, February 28, 2003
Revokes: EO 13442, August 13, 2007
Revoked by: EO 14135 January 3, 2025",13753
81 FR 90669, 2016-30277,90674,https://www.federalregister.gov/documents/2016/12/14/2016-30277/northern-bering-sea-climate-resilience,https://www.govinfo.gov/content/pkg/FR-2016-12-14/pdf/2016-30277.pdf,Presidential Document,Executive Order,12/14/2016,2016-12-09,90669,Northern Bering Sea Climate Resilience,"Revoked by: EO 13795, April 28, 2017",13754
